city,year,metabolite_name,daily_mean_concentration
Basel,2023,mdma,16.26
Basel,2023,amphetamine,20.01
Basel,2023,cannabis,56.09
Basel,2023,cocaine,559.98
Basel,2023,methamphetamine,18.22
Basel,2023,ketamine,14.05
Basel,2024,mdma,14.81
Basel,2024,amphetamine,22.53
Basel,2024,cannabis,30.7
Basel,2024,cocaine,569.48
Basel,2024,methamphetamine,14.59
Basel,2024,ketamine,15.99
Belgrade,2013,mdma,14.81
Belgrade,2013,amphetamine,16.7
Belgrade,2013,cannabis,16.92
Belgrade,2013,cocaine,40.69
Belgrade,2013,methamphetamine,0
Bergen (2),2024,mdma,36.65
Bergen (2),2024,amphetamine,430.06
Bergen (2),2024,cannabis,132.72
Bergen (2),2024,cocaine,515.61
Bergen (2),2024,methamphetamine,0
Bergen (2),2024,ketamine,37.9
Berne,2012,mdma,19.22
Berne,2012,amphetamine,33.05
Berne,2012,cocaine,265.5
Berne,2012,methamphetamine,19.55
Berne,2013,mdma,27.69
Berne,2013,amphetamine,19.06
Berne,2013,cocaine,264.34
Berne,2013,methamphetamine,16.01
Berne,2014,mdma,18.83
Berne,2014,amphetamine,18.12
Berne,2014,cocaine,365.08
Berne,2014,methamphetamine,10.23
Berne,2015,mdma,12.5
Berne,2015,amphetamine,26.15
Berne,2015,cocaine,228.93
Berne,2015,methamphetamine,12.51
Berne,2016,mdma,19.55
Berne,2016,amphetamine,24.17
Berne,2016,cocaine,325.71
Berne,2016,methamphetamine,8.51
Berne,2017,mdma,33
Berne,2017,amphetamine,53.31
Berne,2017,cocaine,527.84
Berne,2017,methamphetamine,25.72
Berne,2018,mdma,28.05
Berne,2018,amphetamine,37.4
Berne,2018,cocaine,499.92
Berne,2019,mdma,18.65
Berne,2019,amphetamine,54.7
Berne,2019,cannabis,21.35
Berne,2019,cocaine,485.85
Berne,2019,methamphetamine,20.27
Berne,2020,mdma,18.33
Berne,2020,amphetamine,55.78
Berne,2020,cannabis,11.92
Berne,2020,cocaine,567.18
Berne,2020,methamphetamine,28.61
Berne,2021,mdma,19.19
Berne,2021,amphetamine,58.39
Berne,2021,cocaine,501.37
Berne,2021,methamphetamine,42.34
Berne,2022,mdma,21
Berne,2022,amphetamine,62.44
Berne,2022,cannabis,110.16
Berne,2022,cocaine,535.64
Berne,2022,methamphetamine,28.58
Berne,2023,mdma,17.18
Berne,2023,amphetamine,51.93
Berne,2023,cannabis,85.71
Berne,2023,cocaine,631.37
Berne,2023,methamphetamine,22.53
Berne,2023,ketamine,11.17
Berne,2024,mdma,25.98
Berne,2024,amphetamine,62.87
Berne,2024,cannabis,47.01
Berne,2024,cocaine,660.77
Berne,2024,methamphetamine,24.34
Berne,2024,ketamine,11.33
Bologna,2024,mdma,12.92
Bologna,2024,amphetamine,2.9
Bologna,2024,cannabis,82.04
Bologna,2024,cocaine,531.55
Bologna,2024,methamphetamine,23.46
Bologna,2024,ketamine,31.81
Bordeaux I,2016,mdma,13.82
Bordeaux I,2016,amphetamine,0
Bordeaux I,2016,cocaine,246.03
Bordeaux I,2016,methamphetamine,0
Bordeaux I,2017,mdma,18.61
Bordeaux I,2017,amphetamine,0
Bordeaux I,2017,cocaine,263.29
Bordeaux I,2017,methamphetamine,0
Bordeaux I,2018,mdma,26.73
Bordeaux I,2018,amphetamine,0
Bordeaux I,2018,cannabis,164.91
Bordeaux I,2018,cocaine,201.61
Bordeaux I,2018,methamphetamine,0
Bordeaux I,2019,mdma,36.89
Bordeaux I,2019,amphetamine,0
Bordeaux I,2019,cannabis,171.25
Bordeaux I,2019,cocaine,256.76
Bordeaux I,2019,methamphetamine,0
Bozen,2018,mdma,5.01
Bozen,2018,amphetamine,2.2
Bozen,2018,cannabis,45.7
Bozen,2018,cocaine,393.16
Bozen,2018,methamphetamine,1.07
Bozen,2019,mdma,4.84
Bozen,2019,amphetamine,1.83
Bozen,2019,cannabis,48.9
Bozen,2019,cocaine,377.79
Bozen,2019,methamphetamine,0
Bozen,2020,mdma,2.03
Bozen,2020,amphetamine,1.99
Bozen,2020,cannabis,33.86
Bozen,2020,cocaine,333.1
Bozen,2020,methamphetamine,1.32
Bozen,2021,mdma,1.36
Bozen,2021,amphetamine,5.68
Bozen,2021,cannabis,38.38
Bozen,2021,cocaine,367.1
Bozen,2021,methamphetamine,1.74
Bozen,2022,mdma,3.39
Bozen,2022,amphetamine,0
Bozen,2022,cannabis,43.44
Bozen,2022,cocaine,366.87
Bozen,2022,methamphetamine,0.54
Bozen,2023,mdma,5.61
Bozen,2023,amphetamine,2.56
Bozen,2023,cannabis,57.71
Bozen,2023,cocaine,447.22
Bozen,2023,methamphetamine,0
Bozen,2024,mdma,7.68
Bozen,2024,amphetamine,2.75
Bozen,2024,cannabis,52.72
Bozen,2024,cocaine,415.08
Bozen,2024,methamphetamine,1.06
Bratislava C,2017,mdma,10.15
Bratislava C,2017,amphetamine,9.34
Bratislava C,2017,cocaine,89.22
Bratislava C,2017,methamphetamine,120
Bratislava C,2018,mdma,13.72
Bratislava C,2018,amphetamine,20.44
Bratislava C,2018,cannabis,41.84
Bratislava C,2018,cocaine,107.08
Bratislava C,2018,methamphetamine,144.02
Bratislava C,2019,cannabis,33.69
Bratislava C,2019,cocaine,69.94
Bratislava C,2021,mdma,4.38
Bratislava C,2021,amphetamine,12.83
Bratislava C,2021,cannabis,20.84
Bratislava C,2021,cocaine,76.17
Bratislava C,2021,methamphetamine,187.35
Bratislava C,2022,mdma,12.21
Bratislava C,2022,amphetamine,21.64
Bratislava C,2022,cannabis,41.64
Bratislava C,2022,cocaine,226.52
Bratislava C,2023,mdma,13.9
Bratislava C,2023,cannabis,34.3
Bratislava C,2023,cocaine,194.71
Bratislava C,2023,methamphetamine,240.97
Bratislava C,2023,ketamine,3.71
Bratislava C,2024,mdma,18.07
Bratislava C,2024,amphetamine,12.47
Bratislava C,2024,cannabis,58.46
Bratislava C,2024,cocaine,316.79
Bratislava C,2024,methamphetamine,295.37
Bratislava C,2024,ketamine,5.3
Brno,2017,mdma,25.38
Brno,2017,amphetamine,9.02
Brno,2017,cocaine,24.21
Brno,2017,methamphetamine,185.67
Brno,2018,mdma,22.58
Brno,2018,amphetamine,15.7
Brno,2018,cannabis,34.97
Brno,2018,cocaine,31.78
Brno,2018,methamphetamine,114.65
Brno,2019,cannabis,41.98
Brno,2019,cocaine,41.76
Brno,2021,mdma,26.36
Brno,2021,amphetamine,47.06
Brno,2021,cannabis,83.8
Brno,2021,cocaine,74.87
Brno,2021,methamphetamine,545.74
Brno,2022,mdma,16.58
Brno,2022,amphetamine,33.49
Brno,2022,cannabis,49.7
Brno,2022,cocaine,91.31
Brno,2022,ketamine,1.28
